C,threshold,F2,Recall,Precision,Balanced_Accuracy
5.0,0.85,0.3578,0.9472,0.1025,0.6641
5.0,0.9,0.3205,0.9802,0.0868,0.6052
10.0,0.1,0.1906,0.1683,0.4048,0.5749
10.0,0.15,0.2701,0.264,0.2974,0.6087
10.0,0.2,0.3221,0.3399,0.2661,0.635
10.0,0.25,0.365,0.4158,0.2451,0.6601
10.0,0.3,0.4104,0.5083,0.2319,0.6913
10.0,0.35,0.4345,0.5776,0.2182,0.7115
10.0,0.4,0.4516,0.6337,0.2101,0.7279
10.0,0.45,0.4616,0.6898,0.1987,0.741
10.0,0.5,0.4585,0.7261,0.1853,0.7439
10.0,0.55,0.4661,0.7888,0.1768,0.7573
10.0,0.6,0.4634,0.8284,0.1678,0.7608
10.0,0.65,0.4519,0.8581,0.1562,0.7559
10.0,0.7,0.4378,0.8878,0.1446,0.7479
10.0,0.75,0.4135,0.9076,0.1301,0.7273
10.0,0.8,0.3868,0.9241,0.1163,0.7
10.0,0.85,0.3588,0.9505,0.1028,0.6656
10.0,0.9,0.3204,0.9802,0.0868,0.6049
50.0,0.1,0.1906,0.1683,0.4048,0.5749
50.0,0.15,0.2731,0.2673,0.2989,0.6103
50.0,0.2,0.3221,0.3399,0.2661,0.635
50.0,0.25,0.3652,0.4158,0.2456,0.6602
50.0,0.3,0.4104,0.5083,0.2319,0.6913
50.0,0.35,0.4347,0.5776,0.2185,0.7116
50.0,0.4,0.4518,0.6337,0.2103,0.728
50.0,0.45,0.4622,0.6898,0.1992,0.7414
50.0,0.5,0.457,0.7228,0.185,0.7425
50.0,0.55,0.4659,0.7888,0.1766,0.7571
50.0,0.6,0.4634,0.8284,0.1678,0.7608
50.0,0.65,0.452,0.8581,0.1562,0.7561
50.0,0.7,0.4377,0.8878,0.1445,0.7477
50.0,0.75,0.4133,0.9076,0.13,0.7271
50.0,0.8,0.3866,0.9241,0.1162,0.6997
50.0,0.85,0.3577,0.9472,0.1025,0.664
50.0,0.9,0.3204,0.9802,0.0868,0.6049
100.0,0.1,0.1903,0.1683,0.3984,0.5747
100.0,0.15,0.2731,0.2673,0.2989,0.6103
100.0,0.2,0.3191,0.3366,0.2642,0.6333
100.0,0.25,0.3654,0.4158,0.2461,0.6604
100.0,0.3,0.4104,0.5083,0.2319,0.6913
100.0,0.35,0.4345,0.5776,0.2182,0.7115
100.0,0.4,0.4516,0.6337,0.2101,0.7279
100.0,0.45,0.4618,0.6898,0.1989,0.7411
100.0,0.5,0.457,0.7228,0.185,0.7425
100.0,0.55,0.4655,0.7888,0.1764,0.7569
100.0,0.6,0.4634,0.8284,0.1678,0.7608
100.0,0.65,0.452,0.8581,0.1562,0.7561
100.0,0.7,0.4384,0.8878,0.1449,0.7484
100.0,0.75,0.4135,0.9076,0.1301,0.7273
100.0,0.8,0.3868,0.9241,0.1163,0.7
100.0,0.85,0.3578,0.9472,0.1025,0.6641
100.0,0.9,0.3205,0.9802,0.0868,0.6051
