n_estimators,max_depth,learning_rate,threshold,F2,Recall,Precision,Balanced_Accuracy
100,5,0.1,0.65,0.0123,0.0099,1.0,0.505
100,5,0.1,0.7,0.0164,0.0132,1.0,0.5066
100,5,0.1,0.75,0.0287,0.0231,0.875,0.5114
100,5,0.1,0.8,0.0408,0.033,0.7143,0.516
100,5,0.1,0.85,0.0606,0.0495,0.6,0.5235
100,5,0.1,0.9,0.0917,0.0759,0.5476,0.5356
100,7,0.01,0.1,0.0,0.0,0.0,0.5
100,7,0.01,0.15,0.0,0.0,0.0,0.5
100,7,0.01,0.2,0.0,0.0,0.0,0.5
100,7,0.01,0.25,0.0,0.0,0.0,0.5
100,7,0.01,0.3,0.0,0.0,0.0,0.5
100,7,0.01,0.35,0.0,0.0,0.0,0.5
100,7,0.01,0.4,0.0,0.0,0.0,0.5
100,7,0.01,0.45,0.0,0.0,0.0,0.5
100,7,0.01,0.5,0.0041,0.0033,1.0,0.5017
100,7,0.01,0.55,0.0041,0.0033,1.0,0.5017
100,7,0.01,0.6,0.0041,0.0033,1.0,0.5017
100,7,0.01,0.65,0.0041,0.0033,0.5,0.5015
100,7,0.01,0.7,0.0041,0.0033,0.3333,0.5014
100,7,0.01,0.75,0.0041,0.0033,0.3333,0.5014
100,7,0.01,0.8,0.0164,0.0132,0.5714,0.5062
100,7,0.01,0.85,0.0407,0.033,0.5882,0.5156
100,7,0.01,0.9,0.0758,0.0627,0.4634,0.5286
100,7,0.05,0.1,0.0,0.0,0.0,0.5
100,7,0.05,0.15,0.0041,0.0033,1.0,0.5017
100,7,0.05,0.2,0.0041,0.0033,1.0,0.5017
100,7,0.05,0.25,0.0041,0.0033,1.0,0.5017
100,7,0.05,0.3,0.0041,0.0033,1.0,0.5017
100,7,0.05,0.35,0.0041,0.0033,1.0,0.5017
100,7,0.05,0.4,0.0082,0.0066,0.6667,0.5032
100,7,0.05,0.45,0.0123,0.0099,0.75,0.5048
100,7,0.05,0.5,0.0123,0.0099,0.75,0.5048
100,7,0.05,0.55,0.0123,0.0099,0.6,0.5047
100,7,0.05,0.6,0.0164,0.0132,0.6667,0.5064
100,7,0.05,0.65,0.0205,0.0165,0.7143,0.508
100,7,0.05,0.7,0.0246,0.0198,0.6667,0.5095
100,7,0.05,0.75,0.0366,0.0297,0.5625,0.514
100,7,0.05,0.8,0.0407,0.033,0.5556,0.5155
100,7,0.05,0.85,0.0644,0.0528,0.5161,0.5246
100,7,0.05,0.9,0.0756,0.0627,0.4222,0.5281
100,7,0.1,0.1,0.0123,0.0099,1.0,0.505
100,7,0.1,0.15,0.0123,0.0099,1.0,0.505
100,7,0.1,0.2,0.0123,0.0099,1.0,0.505
100,7,0.1,0.25,0.0123,0.0099,1.0,0.505
100,7,0.1,0.3,0.0123,0.0099,0.75,0.5048
100,7,0.1,0.35,0.0123,0.0099,0.75,0.5048
100,7,0.1,0.4,0.0164,0.0132,0.8,0.5065
100,7,0.1,0.45,0.0164,0.0132,0.5714,0.5062
100,7,0.1,0.5,0.0245,0.0198,0.6,0.5094
100,7,0.1,0.55,0.0245,0.0198,0.5,0.5092
100,7,0.1,0.6,0.0245,0.0198,0.4615,0.509
100,7,0.1,0.65,0.0366,0.0297,0.5294,0.5139
100,7,0.1,0.7,0.0446,0.0363,0.5238,0.5169
100,7,0.1,0.75,0.0604,0.0495,0.5172,0.523
100,7,0.1,0.8,0.0721,0.0594,0.5,0.5275
100,7,0.1,0.85,0.0953,0.0792,0.5106,0.5368
100,7,0.1,0.9,0.1388,0.1188,0.4235,0.5534
200,3,0.01,0.1,0.0,0.0,0.0,0.5
200,3,0.01,0.15,0.0,0.0,0.0,0.5
200,3,0.01,0.2,0.0,0.0,0.0,0.5
200,3,0.01,0.25,0.0,0.0,0.0,0.5
200,3,0.01,0.3,0.0,0.0,0.0,0.5
200,3,0.01,0.35,0.0,0.0,0.0,0.5
200,3,0.01,0.4,0.0,0.0,0.0,0.5
200,3,0.01,0.45,0.0,0.0,0.0,0.5
200,3,0.01,0.5,0.0,0.0,0.0,0.5
200,3,0.01,0.55,0.0,0.0,0.0,0.5
200,3,0.01,0.6,0.0,0.0,0.0,0.5
200,3,0.01,0.65,0.0,0.0,0.0,0.5
200,3,0.01,0.7,0.0,0.0,0.0,0.5
200,3,0.01,0.75,0.0,0.0,0.0,0.5
200,3,0.01,0.8,0.0,0.0,0.0,0.5
200,3,0.01,0.85,0.0,0.0,0.0,0.5
200,3,0.01,0.9,0.0,0.0,0.0,0.5
200,3,0.05,0.1,0.0,0.0,0.0,0.5
200,3,0.05,0.15,0.0,0.0,0.0,0.5
200,3,0.05,0.2,0.0,0.0,0.0,0.5
200,3,0.05,0.25,0.0,0.0,0.0,0.5
200,3,0.05,0.3,0.0,0.0,0.0,0.5
200,3,0.05,0.35,0.0,0.0,0.0,0.5
200,3,0.05,0.4,0.0,0.0,0.0,0.5
200,3,0.05,0.45,0.0,0.0,0.0,0.5
200,3,0.05,0.5,0.0,0.0,0.0,0.5
200,3,0.05,0.55,0.0,0.0,0.0,0.5
200,3,0.05,0.6,0.0,0.0,0.0,0.5
200,3,0.05,0.65,0.0,0.0,0.0,0.5
200,3,0.05,0.7,0.0,0.0,0.0,0.5
200,3,0.05,0.75,0.0,0.0,0.0,0.5
200,3,0.05,0.8,0.0041,0.0033,1.0,0.5017
200,3,0.05,0.85,0.0123,0.0099,0.75,0.5048
200,3,0.05,0.9,0.0649,0.0528,0.8,0.5259
200,3,0.1,0.1,0.0,0.0,0.0,0.5
200,3,0.1,0.15,0.0,0.0,0.0,0.5
200,3,0.1,0.2,0.0,0.0,0.0,0.5
200,3,0.1,0.25,0.0,0.0,0.0,0.5
200,3,0.1,0.3,0.0,0.0,0.0,0.5
200,3,0.1,0.35,0.0,0.0,0.0,0.5
200,3,0.1,0.4,0.0,0.0,0.0,0.5
200,3,0.1,0.45,0.0,0.0,0.0,0.5
200,3,0.1,0.5,0.0,0.0,0.0,0.5
200,3,0.1,0.55,0.0,0.0,0.0,0.5
200,3,0.1,0.6,0.0,0.0,0.0,0.5
200,3,0.1,0.65,0.0041,0.0033,1.0,0.5017
200,3,0.1,0.7,0.0082,0.0066,1.0,0.5033
200,3,0.1,0.75,0.0164,0.0132,1.0,0.5066
200,3,0.1,0.8,0.0246,0.0198,1.0,0.5099
200,3,0.1,0.85,0.0408,0.033,0.8333,0.5163
200,3,0.1,0.9,0.0767,0.0627,0.7037,0.5304
200,5,0.01,0.1,0.0,0.0,0.0,0.5
200,5,0.01,0.15,0.0,0.0,0.0,0.5
200,5,0.01,0.2,0.0,0.0,0.0,0.5
200,5,0.01,0.25,0.0,0.0,0.0,0.5
200,5,0.01,0.3,0.0,0.0,0.0,0.5
200,5,0.01,0.35,0.0,0.0,0.0,0.5
200,5,0.01,0.4,0.0,0.0,0.0,0.5
200,5,0.01,0.45,0.0,0.0,0.0,0.5
200,5,0.01,0.5,0.0,0.0,0.0,0.5
200,5,0.01,0.55,0.0,0.0,0.0,0.5
200,5,0.01,0.6,0.0,0.0,0.0,0.5
200,5,0.01,0.65,0.0,0.0,0.0,0.5
200,5,0.01,0.7,0.0,0.0,0.0,0.5
200,5,0.01,0.75,0.0,0.0,0.0,0.5
200,5,0.01,0.8,0.0,0.0,0.0,0.4999
200,5,0.01,0.85,0.0041,0.0033,0.5,0.5015
200,5,0.01,0.9,0.0326,0.0264,0.5714,0.5125
200,5,0.05,0.1,0.0,0.0,0.0,0.5
200,5,0.05,0.15,0.0,0.0,0.0,0.5
200,5,0.05,0.2,0.0041,0.0033,1.0,0.5017
200,5,0.05,0.25,0.0041,0.0033,1.0,0.5017
200,5,0.05,0.3,0.0041,0.0033,1.0,0.5017
200,5,0.05,0.35,0.0041,0.0033,1.0,0.5017
200,5,0.05,0.4,0.0082,0.0066,1.0,0.5033
200,5,0.05,0.45,0.0082,0.0066,1.0,0.5033
200,5,0.05,0.5,0.0082,0.0066,1.0,0.5033
200,5,0.05,0.55,0.0082,0.0066,1.0,0.5033
200,5,0.05,0.6,0.0123,0.0099,1.0,0.505
200,5,0.05,0.65,0.0123,0.0099,1.0,0.505
200,5,0.05,0.7,0.0246,0.0198,0.8571,0.5098
200,5,0.05,0.75,0.0368,0.0297,0.9,0.5147
200,5,0.05,0.8,0.0449,0.0363,0.7857,0.5178
200,5,0.05,0.85,0.0527,0.0429,0.619,0.5205
200,5,0.05,0.9,0.0921,0.0759,0.6216,0.5362
200,5,0.1,0.1,0.0041,0.0033,1.0,0.5017
200,5,0.1,0.15,0.0082,0.0066,1.0,0.5033
200,5,0.1,0.2,0.0082,0.0066,1.0,0.5033
200,5,0.1,0.25,0.0082,0.0066,1.0,0.5033
200,5,0.1,0.3,0.0082,0.0066,1.0,0.5033
200,5,0.1,0.35,0.0082,0.0066,1.0,0.5033
200,5,0.1,0.4,0.0082,0.0066,1.0,0.5033
200,5,0.1,0.45,0.0082,0.0066,1.0,0.5033
