feature,coded_missing_rate
CULTSATIS,0.7215329955151727
EDUCAT3,0.2399382608189178
NSSEC_3,0.148552623915196
CINTOFT,0.05908905585648552
CSMARTD_Count,0.058856077814665966
FINHARD,0.048109965635738834
WELLB4,0.0454889626652688
WELLB1,0.04429495020094356
LONELY,0.036752286097035354
ETHNIC_NET,0.031539402411322734
SEX,0.01857999883510979
AGEBAND,0.017648086667831558
TENHARM,0.004950783388665618
CHERVIS12_NET,0.0
emdidc19,0.0
